	Wave (A)	FluxDens(1d-15)   Err
       4146.9400       20.228527      0.12162680
       4147.4300       20.285546      0.12172650
       4147.9200       20.222282      0.12149689
       4148.4100       20.175808      0.12130081
       4148.9000       20.288245      0.12160550
       4149.3900       20.084543      0.12099065
       4149.8800       20.106084      0.12097984
       4150.3700       20.324446      0.12157037
       4150.8600       20.174064      0.12108509
       4151.3500       19.993354      0.12055480
       4151.8400       20.090319      0.12084716
       4152.3300       20.105409      0.12083333
       4152.8200       20.022471      0.12049210
       4153.3100       20.114562      0.12072125
       4153.8000       20.125713      0.12074176
       4154.2900       19.997191      0.12028353
       4154.7800       20.022815      0.12036722
       4155.2700       20.078463      0.12044724
       4155.7600       19.778746      0.11938254
       4156.2500       19.867856      0.11957031
       4156.7400       20.030432      0.12001993
       4157.2300       19.873584      0.11953757
       4157.7200       19.701262      0.11896196
       4158.2100       19.732826      0.11898650
       4158.7000       19.802070      0.11912803
       4159.1900       19.624158      0.11853185
       4159.6800       19.604790      0.11843174
       4160.1700       19.651355      0.11857982
       4160.6600       19.790125      0.11895138
       4161.1500       19.770900      0.11883519
       4161.6400       19.517643      0.11799928
       4162.1300       19.416731      0.11756686
       4162.6200       19.651556      0.11819317
       4163.1100       19.624976      0.11808694
       4163.6000       19.542205      0.11785067
       4164.0900       19.636363      0.11811653
       4164.5800       19.623343      0.11811305
       4165.0700       19.730262      0.11839126
       4165.5600       19.675958      0.11806220
       4166.0500       19.507034      0.11746240
       4166.5400       19.541444      0.11746946
       4167.0300       19.689134      0.11786035
       4167.5200       19.601132      0.11758203
       4168.0100       19.707576      0.11789341
       4168.5000       19.710245      0.11784690
       4168.9900       19.523881      0.11720789
       4169.4800       19.350017      0.11663143
       4169.9700       19.290377      0.11638403
       4170.4600       19.332171      0.11642624
       4170.9500       19.283508      0.11623346
       4171.4400       19.417497      0.11656736
       4171.9300       19.366441      0.11643016
       4172.4200       19.362558      0.11639430
       4172.9100       19.274650      0.11601877
       4173.4000       19.165454      0.11559375
       4173.8900       19.279153      0.11588873
       4174.3800       19.250189      0.11574866
       4174.8700       19.105043      0.11530330
       4175.3600       19.089236      0.11519092
       4175.8500       19.057573      0.11498519
       4176.3400       19.054049      0.11494456
       4176.8300       19.068790      0.11493505
